iter	RMSE
0	36.22065366
1	35.91575191
2	35.62778281
3	35.33842919
4	35.06492082
5	34.76138033
6	34.47360096
7	34.19001921
8	33.89995056
9	33.59802034
10	33.31180804
11	33.03312222
12	32.76352426
13	32.48422622
14	32.20220273
15	31.90913778
16	31.62483473
17	31.36564745
18	31.09547283
19	30.82621087
20	30.55817733
21	30.31227394
22	30.04681459
23	29.7710109
24	29.51377471
25	29.27421339
26	29.01965714
27	28.75100792
28	28.50901359
29	28.26184964
30	28.01383286
31	27.76898757
32	27.53854402
33	27.33324559
34	27.10876883
35	26.88573717
36	26.65178116
37	26.42716585
38	26.19609725
39	25.98127109
40	25.7588526
41	25.53839579
42	25.33241882
43	25.12094895
44	24.90409812
45	24.69107827
46	24.49149329
47	24.29093524
48	24.08658802
49	23.88843092
50	23.6973423
51	23.49737914
52	23.30584444
53	23.11991313
54	22.92465433
55	22.71991885
56	22.54771052
57	22.35456343
58	22.15985282
59	21.98397705
60	21.79975373
61	21.62363928
62	21.45230185
63	21.28191799
64	21.11358517
65	20.94954418
66	20.76286173
67	20.58541962
68	20.43953924
69	20.28208866
70	20.10598665
71	19.939619
72	19.78030413
73	19.62485866
74	19.46607563
75	19.30848976
76	19.15389338
77	18.98588124
78	18.8336039
79	18.69662139
80	18.55562031
81	18.40793628
82	18.26372952
83	18.1251841
84	17.96734942
85	17.8202597
86	17.67222534
87	17.52276905
88	17.38051617
89	17.23847295
90	17.09577768
91	16.97013715
92	16.82991131
93	16.68311635
94	16.55565506
95	16.43145848
96	16.30388014
97	16.18758995
98	16.06243331
99	15.94216808
100	15.81082084
101	15.69476105
102	15.5690471
103	15.44174954
104	15.32000389
105	15.18933052
106	15.06013874
107	14.93779265
108	14.8165155
109	14.70189213
110	14.59781969
111	14.48723139
112	14.37593635
113	14.26075071
114	14.14749883
115	14.050032
116	13.94653324
117	13.84377583
118	13.73356276
119	13.63118577
120	13.51969949
121	13.42697543
122	13.32847161
123	13.23144693
124	13.13228693
125	13.03621207
126	12.93912008
127	12.85312046
128	12.75218314
129	12.66539958
130	12.56894524
131	12.48210106
132	12.39463607
133	12.31025734
134	12.21748343
135	12.12850993
136	12.04644585
137	11.95412109
138	11.86793031
139	11.78157203
140	11.69128371
141	11.61560577
142	11.53033717
143	11.45295174
144	11.37313567
145	11.28744788
146	11.20493507
147	11.11778426
148	11.04194871
149	10.96046786
150	10.87684437
151	10.80339678
152	10.72109746
153	10.64756695
154	10.57348791
155	10.49423409
156	10.42355836
157	10.34756233
158	10.27184651
159	10.20044631
160	10.13732291
161	10.06600837
162	9.997226888
163	9.930938266
164	9.865666295
165	9.800912245
166	9.730137099
167	9.666312964
168	9.595412146
169	9.53140025
170	9.462750268
171	9.404310876
172	9.340788838
173	9.274516637
174	9.217073391
175	9.154174152
176	9.098297457
177	9.040804759
178	8.980776454
179	8.921111983
180	8.862679939
181	8.806079201
182	8.751022894
183	8.690583827
184	8.633447693
185	8.572643218
186	8.512522314
187	8.455853966
188	8.401151909
189	8.349884107
190	8.29637024
191	8.240561607
192	8.18876245
193	8.135248285
194	8.089992381
195	8.043724534
196	7.992212076
197	7.942429596
198	7.896140138
199	7.844086112
200	7.792620676
201	7.742284788
202	7.693503142
203	7.650486901
204	7.609857115
205	7.563807106
206	7.515268946
207	7.468569362
208	7.429818775
209	7.384596649
210	7.342708511
211	7.298808648
212	7.251529015
213	7.210287048
214	7.164711608
215	7.123928911
216	7.083262815
217	7.04267879
218	6.998568105
219	6.955980552
220	6.916732105
221	6.878410615
222	6.8385176
223	6.793688226
224	6.758291858
225	6.722894826
226	6.684158034
227	6.642777297
228	6.608688751
229	6.569932549
230	6.533885131
231	6.500311966
232	6.467374046
233	6.435893916
234	6.398517874
235	6.362185982
236	6.327648249
237	6.290026714
238	6.258172922
239	6.222014826
240	6.186239114
241	6.154348265
242	6.122353581
243	6.091888284
244	6.057599492
245	6.027634563
246	5.996430161
247	5.965999633
248	5.938869174
249	5.904854399
250	5.874169197
251	5.846042165
252	5.815037479
253	5.787238471
254	5.758643679
255	5.72882743
256	5.70066221
257	5.671866747
258	5.646199015
259	5.614368935
260	5.590724786
261	5.561973195
262	5.534566195
263	5.503859207
264	5.478173478
265	5.455839673
266	5.43175654
267	5.404805124
268	5.375795549
269	5.350576925
270	5.328180649
271	5.299707104
272	5.273473955
273	5.24688421
274	5.227638778
275	5.205763887
276	5.182167735
277	5.158285349
278	5.135972092
279	5.113058809
280	5.091817916
281	5.071838701
282	5.051262664
283	5.03286873
284	5.012612354
285	4.992224287
286	4.968983201
287	4.945306006
288	4.924183347
289	4.902261036
290	4.878195048
291	4.856015987
292	4.835587877
293	4.815430445
294	4.796510464
295	4.777720129
296	4.760144792
297	4.743541636
298	4.726557735
299	4.710144535
300	4.692324291
301	4.674093577
302	4.659151851
303	4.64089159
304	4.622113445
305	4.604407511
306	4.589108837
307	4.570499092
308	4.553205571
309	4.535465786
310	4.517521479
311	4.497453405
312	4.480802934
313	4.462295368
314	4.446729708
315	4.428639546
316	4.41256378
317	4.397031359
318	4.38432707
319	4.36871177
320	4.351786143
321	4.335628319
322	4.31858632
323	4.303557148
324	4.288695026
325	4.274425902
326	4.261554176
327	4.243807302
328	4.227916492
329	4.215278802
330	4.200911134
331	4.184987269
332	4.169774939
333	4.155643534
334	4.13974139
335	4.125143063
336	4.113591893
337	4.099956215
338	4.084330017
339	4.070765319
340	4.0575228
341	4.044501992
342	4.030322811
343	4.016053505
344	4.004225482
345	3.990047697
346	3.977900944
347	3.964705188
348	3.95185852
349	3.940683412
350	3.929434203
351	3.917180371
352	3.904873792
353	3.89229083
354	3.878673741
355	3.868196786
356	3.855550049
357	3.845588893
358	3.834374009
359	3.821498467
360	3.809414303
361	3.797981768
362	3.787646398
363	3.774763238
364	3.765002383
365	3.755005033
366	3.743990135
367	3.733696545
368	3.724061089
369	3.712389101
370	3.701033014
371	3.689804684
372	3.682581519
373	3.671485979
374	3.661530357
375	3.652788056
376	3.645170864
377	3.634671646
378	3.626371502
379	3.618277528
380	3.609301197
381	3.599339049
382	3.589984524
383	3.580413653
384	3.571030638
385	3.561628092
386	3.553950591
387	3.545604515
388	3.536921041
389	3.528371383
390	3.520342798
391	3.511061502
392	3.502525032
393	3.494217596
394	3.485093287
395	3.476140573
396	3.467411753
397	3.459411849
398	3.452570405
399	3.443469297
400	3.43706675
401	3.428836168
402	3.42087473
403	3.414298006
404	3.403621441
405	3.394660092
406	3.383818995
407	3.375937375
408	3.36719843
409	3.360117704
410	3.350228294
411	3.341810763
412	3.332840124
413	3.325625625
414	3.319491202
415	3.314013589
416	3.305049685
417	3.295769088
418	3.287498199
419	3.27830871
420	3.269283122
421	3.260505234
422	3.25331364
423	3.246021784
424	3.239886021
425	3.230126294
426	3.223218368
427	3.215321262
428	3.210000309
429	3.201795032
430	3.193534559
431	3.184931802
432	3.177561085
433	3.16974339
434	3.164064071
435	3.155198259
436	3.149467499
437	3.140731496
438	3.13363013
439	3.126203138
440	3.119854537
441	3.112712298
442	3.106281705
443	3.097303973
444	3.090253966
445	3.083676462
446	3.076817209
447	3.070627286
448	3.063122565
449	3.05652434
450	3.048584311
451	3.039868096
452	3.031632667
453	3.025780029
454	3.019745575
455	3.015167491
456	3.008866197
457	3.001119288
458	2.99427049
459	2.987952284
460	2.982558134
461	2.97451984
462	2.968900906
463	2.961588785
464	2.955881442
465	2.951518195
466	2.944285714
467	2.937786561
468	2.931126934
469	2.925474514
470	2.919629533
471	2.912544339
472	2.906001039
473	2.899653373
474	2.895064449
475	2.88917959
476	2.885202556
477	2.878372145
478	2.871786701
479	2.864295593
480	2.857999364
481	2.853352706
482	2.846589106
483	2.841774981
484	2.838068471
485	2.832153551
486	2.826828995
487	2.82309199
488	2.818351807
489	2.812261621
490	2.807327779
491	2.80099423
492	2.796326029
493	2.791019559
494	2.785909437
495	2.782068151
496	2.7746041
497	2.76940039
498	2.764196211
499	2.759559061
500	2.7550507
501	2.749174884
502	2.741989936
503	2.737512547
504	2.730046763
505	2.725600837
506	2.720686674
507	2.716982987
508	2.712235268
509	2.707258478
510	2.703232383
511	2.698601931
512	2.693149148
513	2.688771726
514	2.683127612
515	2.677990099
516	2.673171576
517	2.668158645
518	2.663215432
519	2.656493025
520	2.651955795
521	2.648792557
522	2.641672751
523	2.636619268
524	2.63087891
525	2.625721928
526	2.620334634
527	2.615257257
528	2.610674217
529	2.605267655
530	2.599238936
531	2.594992063
532	2.590111743
533	2.585528979
534	2.582346048
535	2.576551736
536	2.570094768
537	2.565425377
538	2.561718275
539	2.55758738
540	2.551907036
541	2.547726221
542	2.542915175
543	2.537103485
544	2.532476463
545	2.525929813
546	2.520357102
547	2.515856406
548	2.511960408
549	2.508126368
550	2.502629857
551	2.499048382
552	2.494694262
